Date;DJIA Close;Recorded High Temperature;Historic Average High Temperature
1/2/2009;9034.69;34;39
1/5/2009;8952.89;43;38
1/6/2009;9015.1;43;38
1/7/2009;8769.7;37;38
1/8/2009;8742.46;38;38
1/9/2009;8599.18;32;38
1/12/2009;8473.97;33;38
1/13/2009;8448.56;41;38
1/14/2009;8200.14;40;38
1/15/2009;8212.49;22;38
1/16/2009;8281.22;18;38
1/20/2009;7949.09;30;38
1/21/2009;8228.1;27;38
1/22/2009;8122.8;37;38
1/23/2009;8077.56;46;38
1/26/2009;8116.03;29;39
1/27/2009;8174.73;29;39
1/28/2009;8375.45;41;39
1/29/2009;8149.01;40;39
1/30/2009;8000.86;35;39
